Title,Producer,Year,MaxAge,MinAge,MaxPlayers,MinPlayers,MaxDuration,MinDuration,Deleted
Большая Бродилка,GaGa Games,2020,150,8,5,2,30,30,False
Кодовые Имена,GaGa Games,2020,150,10,8,2,30,30,False
Уно,Mattel,2008,150,7,10,2,30,30,False
Unmatched: Туман над Мостовой,GaGa Games,2020,150,12,4,2,30,30,False
Нуар,GaGa Games,2011,150,12,9,2,60,30,False
Длина Волны,GaGa Games,2011,150,14,12,2,30,30,False
Каркассон. Средневековье (Новое Издание),Hobby World,2022,150,8,5,2,90,30,False
Чужая Планета,GaGa Games,2008,150,10,7,2,30,30,False
Unmatched: Битва Легенд,GaGa Games,2017,150,9,4,2,30,30,False
Битва Пяти Воинств,GaGa Games,2014,150,13,2,2,240,60,False
Руины Острова Арнак,GaGa Games,2019,150,12,4,1,120,60,False
Монополия,Hasbro,2010,150,8,6,2,60,30,False
Гоббит,GaGa Games,2015,150,6,8,2,30,30,False
Гномы-Вредители Делюкс,Стиль Жизни,2010,150,8,12,2,30,30,False
Билет на Поезд по Европе,Hobby World,2008,150,8,5,2,90,60,False
Каркассон Королевский Подарок (Новое Издание),Hobby World,2016,150,8,5,2,90,30,False
Res Arcana,GaGa Games,2013,150,14,4,2,60,30,False
Детектив. Игра о Современном Расследовании,GaGa Games,2014,150,16,5,1,180,120,False
Натиск!,GaGa Games,2012,150,12,2,1,30,15,False
Последнее Послание,GaGa Games,2022,150,8,8,3,15,15,False
Доббль,Asmodee,2014,150,6,8,2,30,30,False
Драфтозавры,GaGa Games,2020,150,6,5,2,30,15,False
Дженга,Hasbro,2019,150,6,8,2,30,30,False
Париж. Город Огней,GaGa Games,2017,150,8,2,2,30,30,False
Коварный Лис,Стиль Жизни,2009,150,5,4,2,30,30,False
Манчкин,Hobby World,2016,150,12,6,3,30,30,False
ЧПОК,GaGa Games,2022,150,18,8,2,15,15,False
Королевский Бирпонг,GaGa Games,2022,150,18,20,2,30,30,False
Дэни. Голоса в Голове,GaGa Games,2018,150,18,8,3,30,30,False
Пей! Пей! Пей!,GaGa Games,2017,150,18,30,3,15,15,False
